店舗ID,店舗名,ジャンル,総合評価,店舗URL,レビュアー,レビュー評価,レビュー日付,レビュー本文
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/05訪問
1
回目",
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/01訪問
1
回目",
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/09訪問
1
回目",￼ 1人焼肉を堪能しました！
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/02訪問
1
回目",
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/06訪問
1
回目",
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/12訪問
1
回目","生キムチが初めて食べた味と食感で、とても美味しかったです！
お肉や冷麺も美味しかった♪"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/06訪問
1
回目","お肉も美味しく、店員さんも笑顔で親切。
練馬で焼肉なら次からここ行く"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/03訪問
1
回目","居心地良かったです。
ボックスタイプの座席なので、子連れでも落ち着きました。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/06訪問
1
回目",テーブル席の独立性、コスパが良かった。ゆっくり会話と食事を楽しめた。肉は値段並でまずまず。
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/05訪問
1
回目",ランチもボリュームがあり、お肉も全部美味しかったです。ユッケも最高でした！！
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/01訪問
1
回目",店長のじゅんちゃんのサービス精神が素晴らしいです。
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/12訪問
1
回目","ランチで来店しました。お肉とにかく美味しかったです！とくにおすすめはカイノミ！！
また是非伺います！！"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/09訪問
1
回目","店員さんがメチャクチャ親切で驚きました。
メニューも全部美味しく、肉はもちろんですが、生キムチサラダが個人的好みで大満足でした。また行きます。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"ー 訪問
（2025/12 更新）
1
回目",タンが厚切りで最高でした。その他美味しい肉もリーズナブルに食べれて、かつとてもカジュアルなので気楽。また行きます。
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/06訪問
1
回目",お肉がおいしかったです。
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"ー 訪問
（2023/07 更新）
1
回目",たんが美味しい　キムチは頼んだ方が良い
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/04訪問
1
回目",
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/08訪問
1
回目",
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/07訪問
1
回目",
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/06訪問
1
回目",
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/02訪問
3
回目","初めてカイノミを頼んだが量、味を考えると安い
びっくりした。　生キムチを売って欲しい"
13003987,焼肉ハウス,焼肉、ホルモン、居酒屋,3.50,https://tabelog.com/tokyo/A1321/A132101/13003987,,,,"江古田駅近の典型的な焼肉やさん。黒毛和牛のカルビが特に旨い。

高火力の炭火でサッと焼いては引っくり返す。
それを繰り返してサンチュで挟んで頂く。
こちらのお肉は赤身と脂身のバランスが適正。
厚みもなかなか。
ギンギンに冷えたビールが進みまくる。

カルビが特に旨いが、ザブトン、ホルモン、ハラミ。
どれも、もちろん旨い。
ただ、ロースはいまいちかな。

タレは少し甘めのみんなが好きなヤツ。
焼肉やさんのタレ、市販のタレとは何処か違うんだよな。

ビールを飲みまくっても、じゅうじゅうカルビを甘辛いタレで食べていると、どうしても白飯が欲しくなる。
タレをたっぷり付けたカルビと白飯。
これを食べないと欲求不満になってしまうほど旨いや。

大変な人気店でいつも満席でオーダーひっきり無しにも関わらず、網の交換をかなりのペースでしてくれる。
網の伝熱効率が落ちず、上手く焼けるのが有難い。

旨い焼肉やさんの典型的なお店と思います。"
